PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,11,22,0,0,11.7,3.1,0,11.7,0.00,0
1,11,23,0,0,12.2,2.1,0,12.2,0.00,0
1,12,0,0,0,11.7,1.5,0,11.7,0.00,0
1,12,1,0,0,11.7,0,0,11.7,0.00,0
1,12,2,0,0,11.1,2.1,0,11.1,0.00,0
1,12,3,0,0,11.7,0,0,11.7,0.00,0
1,12,4,0,0,11.1,1.5,0,11.1,0.00,0
1,12,5,0,0,10.6,0,0,10.6,0.00,0
1,12,6,0,0,10,0,0,10,0.00,0
1,12,7,180,29,10.6,3.1,90.109,11.356,72.84,65.871
1,12,8,544,60,12.2,3.1,329.972,18.666,276.56,264.713
1,12,9,703,82,14.4,2.1,548.378,28.176,455.88,438.575
1,12,10,778,97,16.1,3.6,704.749,31.636,582.94,561.1
1,12,11,784,103,17.2,2.6,766.469,36.301,621.76,598.425
1,12,12,741,117,16.1,4.1,752.906,32.411,622.69,599.316
1,12,13,686,136,16.1,6.2,687.81,27.772,580.17,558.434
1,12,14,523,133,15,5.7,494.567,23.713,421.64,405.461
1,12,15,437,77,14.4,5.7,302.394,19.35,254.99,243.734
1,12,16,168,31,14.4,3.6,90.339,15.574,72.43,65.472
1,12,17,0,0,16.1,4.6,0,16.1,0.00,0
1,12,18,0,0,15.6,5.2,0,15.6,0.00,0
1,12,19,0,0,15.6,6.2,0,15.6,0.00,0
